YearOfObservation,Insured_Period,Residential,Building Dimension,Building_Type,NumberOfWindows,Claim,Building_Painted,Building_Fenced,Garden,Settlement,Painted_Fenced_Garden,Painted_Fenced,Garden_Settlement,Fenced_Garden_Settlement,Painted_Fenced_Settlement,Painted_Fenced_Garden_Settlement
2014,1,0,5439,1,10,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,1100,1,4,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,1200,1,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,552,1,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,900,1,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,370,2,3,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,1400,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,1,1000,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,480,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,0.084931507,0,1300,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2900,2,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,1300,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1300,2,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1300,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1592,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1592,2,4,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,450,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,480,2,3,0,0,1,1,1,1,1,2,4,1,1
2015,1,1,487,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1550,1,4,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1550,1,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,650,1,2,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,650,1,2,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2600,1,6,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1314,1,3,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,2960,1,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,2960,1,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1386,1,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1100,1,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1100,1,3,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,680,1,3,0,1,0,0,0,2,2,0,0,2,2
2015,0.857534247,0,3325,1,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1254,1,3,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1000,1,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1842,1,3,0,1,1,1,1,5,3,2,4,4,4
2015,0.295890411,0,300,1,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1113,1,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,310,1,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,736,1,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,2050,1,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2050,1,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,1262,1,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,470,1,7,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,2400,1,7,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,6510,1,7,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,320,1,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,425,1,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1500,1,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,900,1,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,600,1,4,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,2000,1,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1000,1,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1000,1,4,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1000,1,4,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,1650,1,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,850,1,4,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,850,1,4,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,2600,1,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,3500,1,4,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,260,1,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,530,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,4700,1,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,838,1,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1728,1,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1024,1,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1440,1,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,300,1,10,0,1,1,1,1,5,3,2,4,4,4
2012,0,0,1700,1,10,0,1,1,1,1,5,3,2,4,4,4
2016,0,0,1700,1,10,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,3688,1,10,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,900,1,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3000,1,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1170,1,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2976,1,9,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,4101,1,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,800,4,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,3100,4,6,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,320,4,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.781420765,0,2490,4,6,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1670,4,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,900,4,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,460,4,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,3500,4,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,14,4,4,0,0,1,1,1,1,1,2,4,1,1
2014,0.915068493,0,9570,4,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1200,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,10,4,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,570,4,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,3522,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,650,4,4,0,1,0,0,0,2,2,0,0,2,2
2015,0.98630137,0,650,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,4112,4,7,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,4112,4,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1470,4,6,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,600,4,8,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,600,4,8,1,0,1,1,1,1,1,2,4,1,1
2013,1,1,380,4,8,0,0,1,1,1,1,1,2,4,1,1
2013,0.084931507,0,460,4,8,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,5419,4,8,1,0,1,1,1,1,1,2,4,1,1
2016,1,0,5419,4,8,1,0,1,1,1,1,1,2,4,1,1
2012,1,1,2800,4,8,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,2800,4,8,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,1,2800,4,8,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,450,4,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,1380,4,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,428,4,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,1000,4,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,1100,4,7,0,1,0,0,0,2,2,0,0,2,2
2015,0.161643836,1,520,4,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,300,4,3,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,300,4,3,0,1,0,0,0,2,2,0,0,2,2
2016,1,1,300,4,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,3250,4,8,1,1,0,0,0,2,2,0,0,2,2
2013,1,1,1000,4,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,660,4,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,300,4,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,550,4,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,550,4,5,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,1255,4,5,1,1,0,0,0,2,2,0,0,2,2
2015,0.997260274,0,1255,4,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,5610,4,5,1,1,0,0,0,2,2,0,0,2,2
2015,0.095890411,1,1800,4,6,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,1,1800,4,6,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,500,4,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1500,4,4,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,1850,4,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,950,4,4,1,0,1,1,1,1,1,2,4,1,1
2012,1,1,340,4,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,1,340,4,4,0,0,1,1,1,1,1,2,4,1,1
2015,0.997260274,0,997,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,3336,4,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3270,4,7,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3270,4,7,0,1,0,0,0,2,2,0,0,2,2
2013,0.665753425,0,300,4,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,2235,4,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1400,4,5,0,0,1,1,1,1,1,2,4,1,1
2015,1,1,5586,4,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,1,5586,4,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,800,4,4,1,1,0,0,0,2,2,0,0,2,2
2013,0.893150685,0,300,4,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,4310,4,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,2160,4,3,1,0,1,1,1,1,1,2,4,1,1
2015,1,0,650,4,3,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,210,4,2,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,7063,4,7,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1696,4,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,740,4,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.024590164,1,3300,4,2,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,350,4,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,400,4,4,0,1,1,1,1,5,3,2,4,4,4
2014,0,0,1000,4,4,1,1,1,1,1,5,3,2,4,4,4
2015,0.893150685,0,162,4,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,320,4,4,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,320,4,4,0,0,1,1,1,1,1,2,4,1,1
2015,0.580821918,1,18000,4,4,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1225,4,4,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,400,4,4,0,0,1,1,1,1,1,2,4,1,1
2013,0.832876712,0,270,4,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,740,4,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1150,4,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,4200,4,4,1,1,0,0,0,2,2,0,0,2,2
2015,0.260273973,0,100,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.747945205,1,900,4,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,9920,4,7,1,0,1,1,1,1,1,2,4,1,1
2015,1,0,2625,4,7,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,5350,4,7,0,1,0,0,0,2,2,0,0,2,2
2014,0.915068493,1,270,4,7,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,3406,4,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,3700,4,7,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3700,4,7,1,1,0,0,0,2,2,0,0,2,2
2012,0.418032787,0,3369,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3369,4,3,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,3369,4,3,1,1,0,0,0,2,2,0,0,2,2
2013,0.104109589,0,4846,4,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,7887,4,4,1,1,1,1,1,5,3,2,4,4,4
2013,1,0,1300,4,4,1,1,1,1,1,5,3,2,4,4,4
2014,0.769863014,0,1300,4,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,1,4000,4,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,4000,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,171,4,3,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,171,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,570,4,2,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,65,4,4,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,367,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,200,4,4,1,0,1,1,1,1,1,2,4,1,1
2012,1,1,400,4,4,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,400,4,4,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,400,4,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,400,4,4,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,400,4,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,400,4,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,6300,4,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,250,4,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,750,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.024657534,0,400,4,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,660,4,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1100,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,530,4,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,3269,4,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,3269,4,4,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3269,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,0,0,300,4,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,640,4,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,530,4,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,450,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3800,4,7,0,1,0,0,0,2,2,0,0,2,2
2014,0.476712329,1,1140,4,3,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,400,4,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,130,4,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,243,4,5,0,0,1,1,1,1,1,2,4,1,1
2013,0.865753425,0,243,4,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,2106,4,5,1,1,1,1,1,5,3,2,4,4,4
2013,1,1,1842,4,5,0,0,1,1,1,1,1,2,4,1,1
2012,0.554644809,1,2713,4,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,500,4,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,614,4,5,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1370,4,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1370,4,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,430,4,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1563,4,6,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,250,4,6,0,0,1,1,1,1,1,2,4,1,1
2013,0.832876712,0,1350,4,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,480,4,6,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,480,4,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1600,4,6,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,5800,4,6,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1000,4,6,0,1,0,0,0,2,2,0,0,2,2
2015,0.084931507,0,2000,4,6,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2880,4,8,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3343,4,7,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,10573,4,9,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,1853,4,6,0,1,1,1,1,5,3,2,4,4,4
2016,0.163934426,1,5939,4,6,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,518,4,4,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3120,4,4,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,3120,4,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,450,4,6,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,12900,4,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,12900,4,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,450,4,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1300,4,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,254,4,3,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1050,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,4500,4,7,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,700,4,3,1,1,0,0,0,2,2,0,0,2,2
2012,0.448087432,1,2712,4,6,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,2712,4,6,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,300,4,3,0,1,0,0,0,2,2,0,0,2,2
2012,0.50273224,1,1120,4,1,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,5598,4,5,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,4500,4,5,1,1,0,0,0,2,2,0,0,2,2
2016,0.75136612,1,2659,4,6,0,1,0,0,0,2,2,0,0,2,2
2016,0.50273224,1,450,4,2,0,1,0,0,0,2,2,0,0,2,2
2016,0.081967213,1,300,4,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,500,4,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1619,4,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,826,4,4,1,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,826,4,4,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1365,4,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,184,4,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,970,4,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,686,4,5,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,900,4,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3508,4,7,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,2900,4,7,1,1,1,1,1,5,3,2,4,4,4
2013,1,0,2900,4,7,1,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,6984,4,7,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,2034,4,7,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,7223,4,8,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,9400,4,8,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,4286,4,8,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1700,4,8,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1500,4,8,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,8400,4,8,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,300,4,6,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,4176,4,6,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,4176,4,6,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,3400,4,6,1,1,0,0,0,2,2,0,0,2,2
2013,0.997260274,0,500,4,4,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,500,4,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3501,4,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,1325,4,5,0,1,1,1,1,5,3,2,4,4,4
2014,1,1,1325,4,5,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,9500,4,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,20,4,4,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,20,4,4,0,1,1,1,1,5,3,2,4,4,4
2016,1,0,441,4,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1137,4,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,250,4,7,0,0,1,1,1,1,1,2,4,1,1
2014,1,1,418,4,7,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,860,4,7,0,0,1,1,1,1,1,2,4,1,1
2015,0.468493151,0,500,4,7,0,0,1,1,1,1,1,2,4,1,1
2014,0.797260274,0,3873,4,7,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,3708,4,7,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,700,4,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,7300,4,4,1,1,1,1,1,5,3,2,4,4,4
2015,1,1,1080,4,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1446,4,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,357,4,5,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,2230,4,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,1500,4,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,4700,4,4,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,3757,4,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,3043,4,7,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,317,4,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,1702,4,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,860,4,7,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,400,4,7,0,0,1,1,1,1,1,2,4,1,1
2013,0.315068493,0,3450,4,7,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3510,4,6,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1565,4,6,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,4300,4,6,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,4300,4,6,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,6650,4,8,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,6650,4,8,1,1,0,0,0,2,2,0,0,2,2
2015,1,1,1500,4,7,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,2857,4,7,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1178,4,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,5785,4,3,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,260,4,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,60,4,3,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,400,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,279,4,7,0,0,1,1,1,1,1,2,4,1,1
2013,0.594520548,1,1196,4,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,670,4,7,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,1984,4,7,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,450,4,6,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,234,4,6,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,4400,4,6,1,1,0,0,0,2,2,0,0,2,2
2013,1,1,4400,4,6,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,412,4,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,412,4,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,600,4,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1980,4,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,870,4,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,2100,4,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,12721,4,8,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,12721,4,8,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,12721,4,8,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,1260,4,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,520,4,3,1,1,0,0,0,2,2,0,0,2,2
2012,0.74863388,0,1930,4,7,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,3070,4,7,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,4600,4,7,1,0,1,1,1,1,1,2,4,1,1
2013,0,0,4600,4,7,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,1,1000,4,7,1,0,1,1,1,1,1,2,4,1,1
2013,0.175342466,0,3500,4,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,2205,4,7,1,1,0,0,0,2,2,0,0,2,2
2014,0.161643836,1,1000,4,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,2110,4,7,0,1,0,0,0,2,2,0,0,2,2
